"1","0","Учебные материалы"
"2","81","Сборники задач (задачники)"
"3","81","Лабораторный практикум"
"4","0","Справочные материалы"
"6","1","Конспект лекций"
"7","81","Сборник тестов (тестовых заданий)"
"8","1","Учебник (с иным грифом)"
"9","1","Электронный учебный курс"
"10","1","Курс лекций"
"11","0","Учебно-методические материалы"
"13","11","Методические рекомендации (материалы) преподавателям для проведения различных видов занятий"
"14","11","Учебная программа"
"17","4","Геоинформационная / картографическая система"
"18","88","Словарь основных терминов (глоссарий)"
"19","4","Справочник"
"20","4","Энциклопедия"
"21","0","Иллюстративные и демонстрационные материалы"
"22","21","Атлас"
"23","21","Коллекция"
"24","21","Карта"
"25","21","Наглядное пособие"
"26","21","Презентация"
"27","0","Дополнительные информационные материалы"
"28","27","Библиография"
"29","27","Интернет-публикация научно-популярного характера"
"30","27","Электронная версия печатного издания"
"31","27","Рекламно-информационная публикация"
"32","88","Хрестоматия"
"33","27","Руководство"
"34","27","Тематическая подборка материалов"
"35","0","Нормативные документы"
"36","35","Инструкция, нормативный акт"
"37","35","Образовательный стандарт"
"38","0","Научные материалы"
"41","38","Монография, изданная другими издательствами (наличие ISBN)"
"42","38","Обзор"
"43","38","Статья"
"44","38","Журнал"
"45","38","Сборник статей, трудов"
"46","0","Электронные периодические издания"
"47","46","Оглавление печатных изданий"
"48","46","Полнотекстовое издание"
"49","0","Электронные библиотеки"
"50","49","Полнотекстовая библиотека"
"51","49","Полнотекстовая библиотека вуза"
"52","49","Электронный каталог библиотеки вуза"
"54","53","Инструментальные средства"
"67","1","Учебное пособие (в т.ч. электронное)"
"68","1","Учебное пособие (с грифом ФУМО)"
"69","1","Учебное пособие (с грифом ПГУ)"
"70","1","Учебник (с грифом ПГУ)"
"71","1","Учебник (с грифом ФУМО)"
"72","38","Монография, изданная зарубежными издательствами (наличие ISBN)"
"73","38","Монография, изданная российскими издательствами (наличие ISBN)"
"74","38","Научная конференция с очным участием (с публикацией сборника в РИНЦ)"
"75","38","Издания, выпущенный под собственной редакцией (сборники научных трудов)"
"76","1","Учебно-методическое пособие"
"77","1","Учебное пособие на иностранном языке"
"78","11","Методические указания (рекомендации) для обучающихся по изучению дисциплины (модуля) с учетом формы обучения"
"79","11","Методические указания (рекомендации) по выполнению курсовых работ (проектов)"
"80","11","Методические указания (рекомендации) на иностранном языке"
"81","0","Оценочные средства по дисциплине (модулю)"
"82","81","Практикум"
"83","81","Сборники упражнений"
"84","81","Сборники иностранных текстов"
"86","81","Сборники контрольных заданий"
"88","0","Дидактический материал по дисциплине (модулю)"
"89","88","Рабочая тетрадь студента по дисциплине (тетрадь с печатной основой)"
